epoch,train loss,reg loss,train acc,test loss,test acc
0,1.9154159849013515,0.0,33.270118713378906,1.3816882937845558,50.88999938964844
1,1.6492703898468208,0.0,47.031681060791016,1.4469091025265781,49.83000183105469
2,1.4602309791886028,0.0,54.557315826416016,0.9309682502891078,70.0999984741211
3,1.3994239700499491,0.0,57.228153228759766,0.8550810573076961,74.7300033569336
4,1.3136315610840092,0.0,60.4008903503418,0.7764081702087865,76.36000061035156
5,1.3239880160770225,0.0,59.69335174560547,0.7344192441063698,79.48999786376953
6,1.2836533886703414,0.0,61.57969665527344,0.824330084251635,77.62000274658203
7,1.2258422994733456,0.0,63.745994567871094,0.6973052560681045,79.80999755859375
8,1.1946631950050144,0.0,64.48551177978516,0.7207165107582555,80.2699966430664
9,1.162424923037764,0.0,65.77234649658203,0.6747596742528857,81.7300033569336
10,1.1969462525305437,0.0,64.13593292236328,0.6605678540889663,81.83000183105469
