epoch,train loss,reg loss,train acc,test loss,test acc
0,4.303308525863959,0.0,7.064929485321045,3.6352806187639333,14.3100004196167
1,3.8880806893718485,0.0,14.266565322875977,3.3807059393988714,20.110000610351562
2,3.534458116609223,0.0,20.81264305114746,3.012665989423039,27.3700008392334
3,3.3281005937225965,0.0,24.87177276611328,2.872934671363445,30.6200008392334
4,3.156081331019499,0.0,28.489591598510742,2.634123611931849,35.40999984741211
5,2.9407033725660674,0.0,33.27201843261719,2.3319084921268503,41.22999954223633
6,2.9027150796384227,0.0,33.56327819824219,2.201919164320435,43.5099983215332
7,2.840370090640321,0.0,35.32384490966797,2.343513402071866,42.599998474121094
8,2.645959202124148,0.0,39.73249435424805,2.2908000247647062,45.91999816894531
9,2.5163285488985023,0.0,42.46934127807617,2.0781474968399665,47.029998779296875
10,2.416923206679675,0.0,44.64408874511719,2.102261927392748,46.90999984741211
11,2.338379212788173,0.0,47.52643966674805,2.0323547582433683,48.970001220703125
12,2.3046607776563994,0.0,46.84626388549805,2.0793142619759144,47.59000015258789
13,2.302552965222573,0.0,48.063560485839844,2.1324359648155444,48.290000915527344
14,2.3727459250664222,0.0,45.55821990966797,2.069793879383742,49.38999938964844
15,2.2314020370950503,0.0,49.313026428222656,1.8628252202814275,52.5
16,2.06878155104968,0.0,53.068809509277344,2.239927644681449,46.029998779296875
17,2.2077945422153085,0.0,48.822776794433594,1.8968902103828662,52.20000076293945
18,2.0696980174706905,0.0,52.91225814819336,1.7027722645287562,56.34000015258789
19,2.088985255786351,0.0,51.8935432434082,1.7243194772739603,56.689998626708984
20,1.9521678515842982,0.0,52.5029411315918,1.9259624794276073,52.13999938964844
21,2.032980105098413,0.0,53.218509674072266,1.825461906616134,55.20000076293945
22,2.006167921484733,0.0,53.56806182861328,1.7846512276716906,55.380001068115234
23,1.9891081123935932,0.0,54.630123138427734,1.9445933669504494,51.79999923706055
24,1.9485194962851855,0.0,55.21607971191406,1.7565512356131967,57.0
25,1.931614804024599,0.0,55.64743423461914,1.8328281785502578,54.72999954223633
26,2.008967017640873,0.0,53.85382843017578,1.9030971563223638,53.5099983215332
27,1.9262481927871704,0.0,55.71940994262695,1.7618633291938088,56.45000076293945
28,1.845960803177892,0.0,58.36604690551758,1.6395359364422886,58.029998779296875
