epoch,train loss,reg loss,train acc,test loss,test acc
0,4.30068336214338,0.0,7.236060619354248,3.6572925008908665,14.239999771118164
1,3.8444062739002463,0.0,14.857290267944336,3.3994924829463766,19.360000610351562
2,3.6495642370107224,0.0,19.358060836791992,2.877876549056082,28.540000915527344
3,3.3716832326383006,0.0,25.290565490722656,2.7837844665604408,31.260000228881836
4,3.1557287585978604,0.0,30.541587829589844,2.426951391528351,38.7599983215332
5,3.161409937605566,0.0,30.875038146972656,2.3144449212334375,42.619998931884766
6,3.095655178537174,0.0,32.54551315307617,2.3100599736878364,42.84000015258789
7,2.7885652537248573,0.0,39.884246826171875,2.0089638040523337,48.0099983215332
8,2.9076604672840665,0.0,37.104942321777344,2.0307527900946263,48.470001220703125
9,2.848718599397309,0.0,38.90648651123047,2.0550071338210443,48.15999984741211
10,2.6876218732522457,0.0,43.18410873413086,1.9017751758748835,50.560001373291016
11,2.55181985971879,0.0,45.09844970703125,2.1259300660605382,47.88999938964844
12,2.8049272931351954,0.0,39.757930755615234,1.7254693243238661,56.650001525878906
13,2.5425297508434372,0.0,45.57133483886719,1.7939022586803244,54.27000045776367
14,2.551258230695919,0.0,46.331058502197266,1.9335160628713743,53.09000015258789
15,2.5765861224155038,0.0,45.011539459228516,1.6109242571724787,59.209999084472656
16,2.6258038160752277,0.0,43.93764877319336,1.8976054841821843,54.93000030517578
17,2.409641448332339,0.0,50.2335205078125,1.7022676215027317,58.209999084472656
18,2.3555528679672553,0.0,50.81000900268555,1.5030367001138552,60.290000915527344
19,2.3075446693264707,0.0,50.63494110107422,1.7100024957849522,57.900001525878906
20,2.148934010340243,0.0,56.29853057861328,1.8405972406117603,58.45000076293945
21,2.373341988544075,0.0,51.320499420166016,1.773074614881265,59.279998779296875
22,2.3651646399984556,0.0,51.05066680908203,1.4922406372397836,61.630001068115234
23,2.2660724849117044,0.0,53.40666961669922,1.5311356578210387,62.2400016784668
24,2.2915650946753368,0.0,52.8121337890625,1.6854884178951532,59.040000915527344
25,2.4047648128198116,0.0,49.76396560668945,1.5405496852566498,61.79999923706055
